EN	FR	DE	P9	P2	P29	
create	items			Q10	Q15	
			name monoLingualText 'fr' - label	instance of - human	occupation - author	
ABBES DE CABREROLES, d’	ABBES DE CABREROLES, d’	ABBES DE CABREROLES, d’	ABBES DE CABREROLES, d’			
ACHILLES TATIUS	ACHILLES TATIUS	ACHILLES TATIUS	ACHILLES TATIUS			
AIKIN, John	AIKIN, John	AIKIN, John	AIKIN, John			
AILÉ	AILÉ	AILÉ	AILÉ			
ALBERT, mademoiselle d’	ALBERT, mademoiselle d’	ALBERT, mademoiselle d’	ALBERT, mademoiselle d’			
ALCIPHRON	ALCIPHRON	ALCIPHRON	ALCIPHRON			
ALEMAN, Mateo	ALEMAN, Mateo	ALEMAN, Mateo	ALEMAN, Mateo			
ALGAROTTI, comte Francesco	ALGAROTTI, comte Francesco	ALGAROTTI, comte Francesco	ALGAROTTI, comte Francesco			
ALI TCHELEBI IBN SALIH	ALI TCHELEBI IBN SALIH	ALI TCHELEBI IBN SALIH	ALI TCHELEBI IBN SALIH			
ALLINGTON, Maria d’	ALLINGTON, Maria d’	ALLINGTON, Maria d’	ALLINGTON, Maria d’			
ANDRIEUX, François-Guillaume-Jean-Stanislas	ANDRIEUX, François-Guillaume-Jean-Stanislas	ANDRIEUX, François-Guillaume-Jean-Stanislas	ANDRIEUX, François-Guillaume-Jean-Stanislas			
ANDRÉ, Jean-François	ANDRÉ, Jean-François	ANDRÉ, Jean-François	ANDRÉ, Jean-François			
ANSART, dom André-Joseph	ANSART, dom André-Joseph	ANSART, dom André-Joseph	ANSART, dom André-Joseph			
ANTOINETTE WALPURGIS DE BAVIÈRE, princesse de Pologne	ANTOINETTE WALPURGIS DE BAVIÈRE, princesse de Pologne	ANTOINETTE WALPURGIS DE BAVIÈRE, princesse de Pologne	ANTOINETTE WALPURGIS DE BAVIÈRE, princesse de Pologne			
ANTRAIGUES, madame d’	ANTRAIGUES, madame d’	ANTRAIGUES, madame d’	ANTRAIGUES, madame d’			
APOLLONIUS DE RHODES	APOLLONIUS DE RHODES	APOLLONIUS DE RHODES	APOLLONIUS DE RHODES			
APULÉE	APULÉE	APULÉE	APULÉE			
ARBLAY, Frances Burney, madame d’	ARBLAY, Frances Burney, madame d’	ARBLAY, Frances Burney, madame d’	ARBLAY, Frances Burney, madame d’			
ARBUTHNOT, John	ARBUTHNOT, John	ARBUTHNOT, John	ARBUTHNOT, John			
ARCQ, Philippe-Auguste de Sainte-Foix, chevalier d’	ARCQ, Philippe-Auguste de Sainte-Foix, chevalier d’	ARCQ, Philippe-Auguste de Sainte-Foix, chevalier d’	ARCQ, Philippe-Auguste de Sainte-Foix, chevalier d’			
ARDÈNE, Esp.-J. Rome d’	ARDÈNE, Esp.-J. Rome d’	ARDÈNE, Esp.-J. Rome d’	ARDÈNE, Esp.-J. Rome d’			
ARETINO, Pietro Bacci, dit	ARETINO, Pietro Bacci, dit	ARETINO, Pietro Bacci, dit	ARETINO, Pietro Bacci, dit			
ARGENS, Jean-Baptiste de Boyer, marquis d’	ARGENS, Jean-Baptiste de Boyer, marquis d’	ARGENS, Jean-Baptiste de Boyer, marquis d’	ARGENS, Jean-Baptiste de Boyer, marquis d’			
ARIOSTO, Lodovico	ARIOSTO, Lodovico	ARIOSTO, Lodovico	ARIOSTO, Lodovico			
ARISTÉNÈTE	ARISTÉNÈTE	ARISTÉNÈTE	ARISTÉNÈTE			
ARNAUD, François-Thomas-Marie de Baculard d’	ARNAUD, François-Thomas-Marie de Baculard d’	ARNAUD, François-Thomas-Marie de Baculard d’	ARNAUD, François-Thomas-Marie de Baculard d’			
ARTAUD, Jean-Baptiste	ARTAUD, Jean-Baptiste	ARTAUD, Jean-Baptiste	ARTAUD, Jean-Baptiste			
ARTOIS, d’ (curé de Moléans)	ARTOIS, d’ (curé de Moléans)	ARTOIS, d’ (curé de Moléans)	ARTOIS, d’ (curé de Moléans)			
AUNEUIL, Louise de Bossigny, comtesse d’	AUNEUIL, Louise de Bossigny, comtesse d’	AUNEUIL, Louise de Bossigny, comtesse d’	AUNEUIL, Louise de Bossigny, comtesse d’			
BAGE, Robert	BAGE, Robert	BAGE, Robert	BAGE, Robert			
BAHRDT, Carl Friedrich	BAHRDT, Carl Friedrich	BAHRDT, Carl Friedrich	BAHRDT, Carl Friedrich			
