P13				P8	check		1P8	1check		2P8	2check		3P8	3check		4P8	4check	5P8	5check		P43
update																				
P13	check	Column	Column2	pl_copy 1 1	pl_copy 1 1 ID	coordonnées géographiques2	pl_copy 1 2	pl_copy 1 2 ID	coordonnées géographiques	pl_copy 1 3	pl_copy 1 3 ID	coordonnées géographiques3	pl_copy 2 1	pl_copy 2 1 ID	coordonnées géographiques4	pl_copy 2 2	pl_copy 2 2 ID	pl_copy 3	pl_copy 3 ID	coordonnées géographiques5	P43
00.1			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Marchand
00.10			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Lepetit, Ouvrier & Lebour
00.100			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Ouvrier, de l’imprimerie d’Egron, rue des Noyers
00.101			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Rochette
00.102			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															chez l’auteur
00.103	n		Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Le Prieur
00.104			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Maradan
00.105			Hambourg	Hambourg	https://www.wikidata.org/wiki/Q1055	53.55,10															marchands de nouveautés
00.106			A Delhy & Paris	Delhy						Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889									chez l’auteur et les marchands de nouveautés
00.107			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Mlle Durand
00.108			Londres	Londres	https://www.wikidata.org/wiki/Q84	51.507222222222,-0.1275															A. Dulau
00.109			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Le Normant
00.11			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															dans un bordel
00.110	t		Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Maradan. Leipzig, Texier& Metz, Devilly, Belimer
00.111			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Garnier, Jombert.
00.112			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															de l’imprimerie de Glisau
00.113			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															l’auteur, Desenne. Deterville, Belin, Fuchs, Dugour, Duchesne
00.114			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															au Dépôt général des bonnes nouveautés, Laurcns j.c.
00.115			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															chez J.-J. Fuchs
00.116			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Morin
00.117			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Marchand
00.118			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															de l’imprimerie de Didot jeune
00.119			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889											 				Barba
00.12			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Pigoreau
00.120			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Barba
00.121			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Barba
00.122			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Barba
00.123			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Barba
00.124	t		Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															André
00.125			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Pigoreau
00.126	t		Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															au Magasin des romans nouveaux, chez Lepetit
00.127			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Tiger, marchands de nouveautés
00.128			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Lepetit jeune
00.129			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Lepetit, Leprieur
00.13			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Gœury
00.130			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															au dépôt de librairie de Locard fils
00.131			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															imprimerie de Munier, Lepetit jeune
00.132			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Pigoreau
00.133																					
00.134			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															imprimerie de Glisau
00.135			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Massé
00.136			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Maradan
00.137			A Smyrne	Smyrne	https://www.wikidata.org/wiki/Q1379299	38.423889,27.142778															
00.138			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Cailleau
00.139	t		Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Chaigneau, Maradan
00.14			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															veuve Garijou et Pigoreau
00.140	t		Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Delalain fils
00.141	t		Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Testu
00.142	m		Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															de l’imprimerie de Cailleau
00.143	t		Berlin	Berlin	https://www.wikidata.org/wiki/Q64	52.516666666667,13.383333333333															Henry Frôlich
00.144			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Lefort, Moutardier
00.145			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Giguet et Cie
00.146			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															imprimerie de Chaignieau aîné
00.147			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Roux
00.148			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															marchands de nouveautés
00.149	t		Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Tavernier
00.15			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Lavillette, rue Saint-André-des Arcs, 8
00.150	t		Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Michel et Billois
00.151	t		Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															And. Aug. Lottin
00.152	t		Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Ducauroy
00.153	t		Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															P.D. Barez, Charles Pougens
00.154	t		Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Petit et les marchands de nouveautés
00.155	mnt		Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Desenne, Fuchs
00.16			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															
00.17			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Desenne
00.18			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															And.-Aug. Lottin
00.19			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Tiger
00.2	t		Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Lottin
