title	P	datatype
create	properties	
		
subclass of	p1	wikibase-item
instance of	p2	wikibase-item
subproperty of	p3	wikibase-property
title	p4	monolingualtext
author	p5	wikibase-item
publisher	p6	wikibase-item
publication date	p7	time
place of publication	p8	wikibase-item
name	p9	monolingualtext
date of birth	p10	time
date of death	p11	time
VIAF ID	p12	external-id
BGRF ID	p13	string
stated in	p14	wikibase-item
author name string	p15	string
equivalentProperty	p16	url
equivalentClass	p17	url
reference URL	p18	url
see also	p19	wikibase-property
part of	p20	wikibase-item
has part	p21	wikibase-property
topic interest	p22	wikibase-item
MiMoText ID	p23	string
described at URL	p24	url
about	p25	wikibase-item
image	p26	commonsMedia
described by source	p27	wikibase-item
sex or gender	p28	wikibase-item
occupation	p29	wikibase-item
exact match	p30	url
family name	p31	wikibase-item
given name	p32	wikibase-item
subtitle	p33	monolingualtext
number of pages	p34	quantity
manifestation of	p35	wikibase-item
expression of	p36	wikibase-item
distribution format	p37	wikibase-item
genre	p38	wikibase-item
language of work or name	p39	wikibase-item
pseudonym	p40	string
editor	p41	wikibase-item
publication date_string	p42	monolingualtext
place of publication_string	p43	monolingualtext
number of pages_string	p44	monolingualtext
distribution format_string	p45	monolingualtext
narrative perspective_string	p46	monolingualtext
narrative location_string	p47	monolingualtext
characters_string	p48	monolingualtext
BGRF_plot_theme	p49	monolingualtext
BGRF_style_attitude_tonality	p50	monolingualtext
BGRF_textstructure	p51	monolingualtext
narrative location	p52	wikibase-item
characters	p53	wikibase-item
narrative perspective	p54	wikibase-item
short name	p55	monolingualtext
related to	p56	wikibase-item
represented by	p57	wikibase-item
close match	p58	url
coordinate location	p59	globe-coordinate
