FR	EN	DE		P30	P58						P30RP14	P58RP14	P2	P2RP14	P25
create	items										Q19		Q20	Q19	Q19
MiMoText Label (fr)	MiMoText Label (en)	MiMoText Label (de)	Wikidata IDs	Wikidata URLs		Wikidata Label (fr)	Wikidata Label (en)	Wikidata Label (de)	Quelle	Match quality					
(art) gothique	Gothic (art)	Gotik	Q46825	https://www.wikidata.org/wiki/Q46825		(Art) gothique	Gothic (art)	Gotik	DEL	exact match					
absolutisme éclairé	enlightened absolutism	aufgeklärter Absolutismus	Q219934		https://www.wikidata.org/wiki/Q219934	despotisme éclairé	enlightened absolutism	aufgeklärter Absolutismus	DEL	close match	#	Q19			
abus de mots	malapropism	Malapropismus	Q1057682		https://www.wikidata.org/wiki/Q1057682	abus de langage	malapropism	Malapropismus	DEL	close match	#	Q19			
académie	academy	Akademie	Q162633	https://www.wikidata.org/wiki/Q162633		académie	acadamy	Akademie	DEL	exact match					
accouchement	childbirth	Geburt	Q34581	https://www.wikidata.org/wiki/Q34581		accouchement	childbirth	Geburt	DEL	exact match					
acoustique	acoustics	Akustik	Q82811	https://www.wikidata.org/wiki/Q82811		acoustique	acoustics	Akustik	DEL	exact match					
administration	administration	Verwaltung	Q3754526		https://www.wikidata.org/wiki/Q3754526	administration	administration		DEL	close match	#	Q19			
affinité	affinity	Affinität	Q3233502		https://www.wikidata.org/wiki/Q3233502	affinité	affinity		DEL	close match	#	Q19			
agriculture	agriculture	Landwirtschaft	Q11451	https://www.wikidata.org/wiki/Q11451		agriculture	agriculture	Landwirtschaft	DEL	exact match					
aide sociale	welfare	Gemeinwohl	Q12002092	https://www.wikidata.org/wiki/Q12002092		aide sociale	welfare	Gemeinwohl	Seklit	exact match					
alchimie	alchemy	Alchemie	Q39689	https://www.wikidata.org/wiki/Q39689		alchimie	alchemy	Alchemie	DEL	exact match					
algèbre	algebra	Algebra	Q3968	https://www.wikidata.org/wiki/Q3968		algèbre	algebra	Algebra	DEL	exact match					
alimentation	aliment	Nahrung	Q213449		https://www.wikidata.org/wiki/Q213449	alimentation	eating	Essen	DEL	close match	#	Q19			
allégorie	allegory	Allegorie	Q18535	https://www.wikidata.org/wiki/Q18535		allégorie	allegory	Allegorie	DEL	exact match					
âme	soul	Seele	Q9165	https://www.wikidata.org/wiki/Q9165		âme	soul	Seele	Seklit	exact match					
amitié	friendship	Freundschaft	Q491	https://www.wikidata.org/wiki/Q491		amitié	friendship	Freundschaft	Seklit	exact match					
amour	love	Liebe	Q316	https://www.wikidata.org/wiki/Q316		amour	love	Liebe	DEL	exact match					
anarchie	anarchy	Anarchie	Q31895	https://www.wikidata.org/wiki/Q31895		anarchie	anarchy	Anarchie	DEL	exact match					
anatomie	anatomy	Anatomie	Q514	https://www.wikidata.org/wiki/Q514		anatomie	anatomy	Anatomie	DEL	exact match					
anthropocentrisme	anthropocentrism	Anthropozentrismus	Q191624	https://www.wikidata.org/wiki/Q191624		anthropocentrisme	anthropocentrism	Anthropozentrismus	Seklit	exact match					
Anti-Lumières	Counter-Enlightenment	Gegenaufklärung	Q457998	https://www.wikidata.org/wiki/Q457998		Anti-Lumières	Counter-Enlightenment	Gegenaufklärung	DEL	exact match					
antiquité	antiquity	Antike	Q486761	https://www.wikidata.org/wiki/Q486761		antiquité (classique)	(Classic) antiquity	Antike	DEL	exact match					
anxiété	anxiety	Angst	Q154430	https://www.wikidata.org/wiki/Q154430		anxiété	anxiety	Angst	Seklit	exact match					
apologétique	apologetics	Apologetik	Q191776	https://www.wikidata.org/wiki/Q191776		apologétique	apologetics	Apologetik	DEL	exact match					
archéologie	archeology	Archäologie	Q23498	https://www.wikidata.org/wiki/Q23498		archéologie	archeology	Archäologie	DEL	exact match					
architecture	architecture	Architektur	Q12271	https://www.wikidata.org/wiki/Q12271		architecture	architecture	Architektur	DEL	exact match					
armée	military	Militär	Q8473	https://www.wikidata.org/wiki/Q8473		armée	military	Militär	"BGRF "	exact match					
art	art	Kunst	Q735	https://www.wikidata.org/wiki/Q735		art	art	Kunst	DEL	exact match					
astronomie	astronomy	Astronomie	Q333	https://www.wikidata.org/wiki/Q333		astronomie	astronomy	Astronomie	DEL	exact match					
athéisme	atheism	Atheismus	Q7066	https://www.wikidata.org/wiki/Q7066		athéisme	atheism	Atheismus	DEL	exact match					
attraction	attraction	Anziehung	Q24238252	https://www.wikidata.org/wiki/Q24238252		attraction	attraction	Anziehung	DEL	exact match					
autobiographie	autobiography	Autobiografie	Q4184	https://www.wikidata.org/wiki/Q4184		autobiographie	autobiography	Autobiografie	DEL	exact match					
autoréflexivité	self-reflection	Selbstreflexion	Q1780478		https://www.wikidata.org/wiki/Q1780478		self-reflection	Selbstreflexion	Seklit	close match	#	Q19			
aventure	adventure	Abenteuer	Q1436734	https://www.wikidata.org/wiki/Q1436734		adventure	adventure	Abenteuer	DEL	exact match					
balistique	balistics	Ballistik	Q184631	https://www.wikidata.org/wiki/Q184631		balistique	balistics	Ballistik	DEL	exact match					
banque	bank	Bank	Q22687	https://www.wikidata.org/wiki/Q22687		banque	bank	Bank	DEL	exact match					
barbare	barbarian	Barbar	Q134313	https://www.wikidata.org/wiki/Q134313		barbare	barbarian	Barbar	DEL	exact match					
baroque	Baroque	Barock	Q37853	https://www.wikidata.org/wiki/Q37853		baroque	Baroque	Barock	DEL	exact match					
beauté	beauty	Schönheit	Q7242	https://www.wikidata.org/wiki/Q7242		beauté	beauty	Schönheit	DEL	exact match					
bible	bible	Bibel	Q1845	https://www.wikidata.org/wiki/Q1845		bible	bible	Bibel	DEL	exact match					
