pointer					value
add	statements				
id	Spalte	text	Keyword	property	Themenwert
00.37	r_c	aventures galantes;	galant	isabout	galanterie
00.37	r_s	précisions pornographiques. (Ce serait une satire contre Joséphine de Beauharnais, madame Tallien et madame Visconti.)	pornographiques	isabout	érotisme
51.42	r_c	aventures galantes (un père et une mère racontent chacun leur vie à leur fils et à leur fille, pour prouver que le véritable bonheur tient à ce qu’on accepte sa propre nature);	galant	isabout	galanterie
51.42	r_c	aventures galantes (un père et une mère racontent chacun leur vie à leur fils et à leur fille, pour prouver que le véritable bonheur tient à ce qu’on accepte sa propre nature);	nature	isabout	nature
52.43	r_c	voyages, rencontres, discussions;	voyages	isabout	voyage
52.43	r_s	thèmes philosophiques, ton satirique.	thèmes philosophiques	isabout	philosophie
53.26	r_c	description d’une Utopie où l’on suit les lois de la nature; éléments merveilleux et allégoriques;	merveille	isabout	miracle
53.26	r_c	description d’une Utopie où l’on suit les lois de la nature; éléments merveilleux et allégoriques;	nature	isabout	nature
54.13	r_c	aventures merveilleuses et galantes	galant	isabout	galanterie
54.13	r_c	aventures merveilleuses et galantes	merveille	isabout	miracle
55.16	r_c	scène de séduction, conversations galantes;	galant	isabout	galanterie
55.16	r_s	ton libertin.	libertin	isabout	libertinage
57.12	r_c	amours malheureuses;	malheur	isabout	malheur
57.12	r_c	amours malheureuses;	amour	isabout	amour
58.13	r_c	aventures sentimentales;	sentimentale	isabout	sentiment
58.13	r_s	réflexions morales.	morale	isabout	morale
58.17	r_c	intrigue sentimentale;	sentimentale	isabout	sentiment
58.17	r_s	analyse des sentiments, mélancolie.	mélancolie	isabout	mélancolie
58.5	r_c	voyage imaginaire; description de l’Hôtel des auteurs françois, critique littéraire	voyage	isabout	voyage
59.22	r_c	intrigues sentimentales;	sentimentale	isabout	sentiment
59.22	r_s	sensibilité.	sensibilité	isabout	sentimentalisme
60.21	r_c	intrigue sentimentale et aventures romanesques;	sentimentale	isabout	sentiment
60.21	r_s	sensibilité, mélancolie.	sensibilité	isabout	sentimentalisme
60.21	r_s	sensibilité, mélancolie.	mélancolie	isabout	mélancolie
61.17	r_c	éducation d’un jeune prince;	éducation	isabout	éducation
61.6	r_s	conte galant.	galant	isabout	galanterie
62.11	r_s	critique des mœurs, ton satirique.	mœurs	isabout	mœurs
62.33	r_c	En marge: traité d’éducation sous une forme narrative.	éducation	isabout	éducation
63.19	r_c	voyages, aventures, éléments féeriques;	voyages	isabout	voyage
64.39	r_s	sensibilité.	sensibilité	isabout	sentimentalisme
64.39	r_c	les malheurs d’une jeune fille de naissance obscure, histoires de famille;	famille	isabout	famille
64.39	r_c	les malheurs d’une jeune fille de naissance obscure, histoires de famille;	malheurs	isabout	malheur
66.11	r_c	intrigue sentimentale;	sentimentale	isabout	sentiment
66.11	r_s	sensibilité, analyse des sentiments.	sensibilité	isabout	sentimentalisme
67.36	r_s	sensibilité, mélancolie, sentiments chrétiens et anti-philosophiques.	sensibilité	isabout	sentimentalisme
67.36	r_c	les malheurs d’une jeune fille, intrigues de famille;	famille	isabout	famille
67.36	r_c	les malheurs d’une jeune fille, intrigues de famille;	malheurs	isabout	malheur
67.36	r_s	sensibilité, mélancolie, sentiments chrétiens et anti-philosophiques.	philosophiques	isabout	philosophie
67.36	r_s	sensibilité, mélancolie, sentiments chrétiens et anti-philosophiques.	mélancolie	isabout	mélancolie
67.39	r_s	style noble, vertu, thèmes philosophiques.	thèmes philosophiques	isabout	philosophie
67.39	r_s	style noble, vertu, thèmes philosophiques.	vertu	isabout	vertu
67.44	r_c	intrigue sentimentale (les suites d’un mariage malheureux), histoires de famille;	sentimentale	isabout	sentiment
67.44	r_c	intrigue sentimentale (les suites d’un mariage malheureux), histoires de famille;	famille	isabout	famille
67.44	r_c	intrigue sentimentale (les suites d’un mariage malheureux), histoires de famille;	malheur	isabout	malheur
68.55	r_c	suite de malheurs, discussions;	malheurs	isabout	malheur
