P13					P25	P25RP14	P25R1P14
update						Q1	Q24
id	Spalte	text	Keyword	property	Themenwert		
00.10	r_s	ton sensible, réflexions morales	sensible	isabout	sentimentalisme		
00.10	r_s	ton sensible, réflexions morales	morale	isabout	morale		
00.10	r_c	correspondance entre un époux mort et son épouse vivante	correspondance	isabout	correspondance littéraire		
00.102	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
00.102	r_c	histoires de famille, aventures romanesques	famille	isabout	famille		
00.103	r_c	intrigue sentimentale	sentimentale	isabout	sentiment		
00.105	r_c	les amours d’un homme qui avait renoncé aux passions	amour	isabout	amour		
00.105	r_c	les amours d’un homme qui avait renoncé aux passions	passion	isabout	passion		
00.106	r_s	ouvrage à clef (la fin du t. II présente une histoire de la Révolution sous des noms indiens)	Révolution	isabout	révolution		
00.106	r_c	aventures, voyages, malheurs	malheurs	isabout	malheur		
00.106	r_c	aventures, voyages, malheurs	voyages	isabout	voyage		
00.107	r_c	intrigue sentimentale	sentimentale	isabout	sentiment		
00.108	r_c	amours contrariées et malheureuses	malheur	isabout	malheur		
00.108	r_c	amours contrariées et malheureuses	amour	isabout	amour		
00.109	r_c	intrigues mondaines et sentimentales, aventures romanesques	sentimentale	isabout	sentiment		
00.11	r_c	aventures galantes, précisions pornographiques	galant	isabout	galanterie		
00.11	r_c	aventures galantes, précisions pornographiques	pornographiques	isabout	érotisme		
00.110	r_c	aventures chevaleresques, intrigues sentimentales, éléments du roman noir	sentimentale	isabout	sentiment		
00.110	r_c	aventures chevaleresques, intrigues sentimentales, éléments du roman noir	chevaleresques	isabout	chevalerie		
00.114	r_s	ton sentimental	sentimental	isabout	sentiment		
00.114	r_c	plusieurs récits de grandes passions, accompagnés de commentaires et de réflexions morales	passion	isabout	passion		
00.114	r_c	plusieurs récits de grandes passions, accompagnés de commentaires et de réflexions morales	morale	isabout	morale		
00.115	r_c	aventures sous la Révolution (‘Je suis une des innombrables victimes de cette révolution célèbre qui signale la fin du dix-huitième siècle’)	Révolution	isabout	révolution		
00.117	r_c	intrigues galantes et sentimentales	galant	isabout	galanterie		
00.117	r_c	intrigues galantes et sentimentales	sentimentale	isabout	sentiment		
00.117	r_s	ton léger mêlé de sensibilité	sensibilité	isabout	sentimentalisme		
00.119	r_c	amours contrariées	amour	isabout	amour		
00.120	r_c	aventures romanesques, intrigues politiques, histoire d’amour	politique	isabout	politique		
00.120	r_c	aventures romanesques, intrigues politiques, histoire d’amour	amour	isabout	amour		
00.120	r_s	éléments historiques	éléments historiques	isabout	histoire		
00.123	r_c	voyages, aventures romanesques	voyages	isabout	voyage		
00.124	r_c	histoires de famille	famille	isabout	famille		
00.126	r_c	intrigues sentimentales et de famille	sentimentale	isabout	sentiment		
00.126	r_s	ton sensible	sensible	isabout	sentimentalisme		
00.126	r_c	intrigues sentimentales et de famille	famille	isabout	famille		
00.127	r_c	voyages, aventures comiques et galantes d’un conscrit	galant	isabout	galanterie		
00.127	r_c	voyages, aventures comiques et galantes d’un conscrit	voyages	isabout	voyage		
00.129	r_c	voyages, aventures, amours, espiègleries (la vie de Figaro jusqu’au début du Barbier de Séville)	voyages	isabout	voyage		
00.129	r_c	voyages, aventures, amours, espiègleries (la vie de Figaro jusqu’au début du Barbier de Séville)	amour	isabout	amour		
00.130	r_s	éléments historiques, sensibilité, mélancolie	sensibilité	isabout	sentimentalisme		
00.130	r_s	éléments historiques, sensibilité, mélancolie	mélancolie	isabout	mélancolie		
00.130	r_s	éléments historiques, sensibilité, mélancolie	éléments historiques	isabout	histoire		
00.131	r_s	sensibilité, éléments du roman noir	sensibilité	isabout	sentimentalisme		
00.131	r_c	les amours des célèbres amants mises en roman	amour	isabout	amour		
00.136	r_c	les malheurs romanesques d’une jeune orpheline	malheurs	isabout	malheur		
00.137	r_s	critique des mœurs et des institutions (à la manière des Lettres persanes)	mœurs	isabout	mœurs		
00.138	r_c	aventures comiques, intrigues galantes, voyages d’un jeune homme	galant	isabout	galanterie		
00.138	r_c	aventures comiques, intrigues galantes, voyages d’un jeune homme	voyages	isabout	voyage		
00.140	r_c	aventures romanesques (duels, bandits), intrigues sentimentales	sentimentale	isabout	sentiment		
00.140	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
00.141	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
00.141	r_c	intrigues et amours malheureuses	malheur	isabout	malheur		
00.141	r_c	intrigues et amours malheureuses	amour	isabout	amour		
00.143	r_c	intrigues sentimentales et politiques, batailles	sentimentale	isabout	sentiment		
00.143	r_s	couleur locale, éléments merveilleux	merveille	isabout	miracle		
00.143	r_c	intrigues sentimentales et politiques, batailles	politique	isabout	politique		
00.144	r_c	voyages et aventures extraordinaires	voyages	isabout	voyage		
00.145	r_c	intrigue sentimentale et chevaleresque	sentimentale	isabout	sentiment		
00.146	r_s	sensibilité et prétentions moralisatrices	sensibilité	isabout	sentimentalisme		
00.146	r_c	intrigues amoureuses	amour	isabout	amour		
00.147	r_c	voyages, malheurs et aventures de deux orphelines	malheurs	isabout	malheur		
00.147	r_c	voyages, malheurs et aventures de deux orphelines	voyages	isabout	voyage		
00.149	r_s	mélancolie, mystères, sensibilité	sensibilité	isabout	sentimentalisme		
00.149	r_c	voyages et malheurs d’une jeune homme secouru par un Juif	malheurs	isabout	malheur		
00.149	r_c	voyages et malheurs d’une jeune homme secouru par un Juif	voyages	isabout	voyage		
00.149	r_s	mélancolie, mystères, sensibilité	mélancolie	isabout	mélancolie		
00.149	r_c	voyages et malheurs d’une jeune homme secouru par un Juif	cour	isabout	cour		
00.15	r_c	les aventures et les amours d’un jeune fugitif	amour	isabout	amour		
00.150	r_s	tableau de mœurs, ton sensible et moralisateur	sensible	isabout	sentimentalisme		
00.150	r_c	les amours et aventures de Ned, qui de souche bourgeoise finit par épouser lady Cécilia, suivies de nouvelles péripéties en Amérique	amour	isabout	amour		
00.150	r_s	tableau de mœurs, ton sensible et moralisateur	mœurs	isabout	mœurs		
00.151	r_c	intrigue mondaine, peinture des mœurs	mœurs	isabout	mœurs		
00.152	r_c	histoires de famille, malheurs	famille	isabout	famille		
00.152	r_c	histoires de famille, malheurs	malheurs	isabout	malheur		
00.153	r_s	thèmes philosophiques	thèmes philosophiques	isabout	philosophie		
00.155	r_c	aventures chevaleresques et sentimentales	sentimentale	isabout	sentiment		
00.155	r_s	éléments merveilleux, prose poétique	merveille	isabout	miracle		
00.155	r_c	aventures chevaleresques et sentimentales	chevaleresques	isabout	chevalerie		
00.16	r_c	aventures lubriques	lubriques	isabout	érotisme		
00.16	r_s	précisions pornographiques	pornographiques	isabout	érotisme		
00.18	r_s	peinture des mœurs, ton sentimental	sentimental	isabout	sentiment		
00.18	r_c	intrigues domestiques, amours criminelles, aventures	amour	isabout	amour		
00.18	r_s	peinture des mœurs, ton sentimental	mœurs	isabout	mœurs		
00.18	r_c	intrigues domestiques, amours criminelles, aventures	criminel	isabout	crime		
00.20	r_c	voyages et aventures d’un assassin involontaire	voyages	isabout	voyage		
00.21	r_c	voyages, amours et aventures d’un jeune homme	voyages	isabout	voyage		
00.21	r_c	voyages, amours et aventures d’un jeune homme	amour	isabout	amour		
00.26	r_s	bienfaisance, sensibilité	sensibilité	isabout	sentimentalisme		
00.26	r_c	histoires de famille	famille	isabout	famille		
00.27	r_c	amours passionnées	amour	isabout	amour		
00.27	r_c	amours passionnées	passion	isabout	passion		
00.28	r_s	ton sentimental et moralisateur	sentimental	isabout	sentiment		
00.28	r_c	aventures romanesques et sombres (les malheurs d’une jeune fille dont le père est trop sévère)	malheurs	isabout	malheur		
00.29	r_c	aventures romanesques et mystérieuses	mystérieuse	isabout	mystère		
00.35	r_c	éducation sentimentale	sentimentale	isabout	sentiment		
00.35	r_c	éducation sentimentale	éducation	isabout	éducation		
00.36	r_c	aventures romanesques, malheurs	malheurs	isabout	malheur		
00.39	r_c	voyages et aventures romanesques	voyages	isabout	voyage		
00.40	r_c	intrigue sentimentale	sentimentale	isabout	sentiment		
00.42	r_c	aventures guerrières, intrigues politiques et amoureuses	guerrière	isabout	guerre		
00.42	r_c	aventures guerrières, intrigues politiques et amoureuses	politique	isabout	politique		
00.42	r_c	aventures guerrières, intrigues politiques et amoureuses	amour	isabout	amour		
00.43	r_c	voyages et aventures romanesques d’un jeune couple	voyages	isabout	voyage		
00.44	r_c	intrigue sentimentale, aventures romanesques pendant la Guerre civile anglaise	sentimentale	isabout	sentiment		
00.44	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
