BGRF_ID	Title	Author	Author1	Author2	Author3	Author4
00.1	Adèle de Montmorency ou la belle émigrée
00.10	Camille et Agathe ou l’amour vainqueur de la mort
00.100	Le conscrit ou les billets de logement, par H. Lemaire, auteur de la Pauvre rentière	LEMAIRE, Henri
00.101	Julienne ou le caveau dans la forêt	LEPREUX, J.-O.
00.102	Nella ou la Carinthienne, par madame S.M.L.	LE VACHER DE LA FEUTRIE, madame S.-M.
00.104	Miralba, chef de brigands, par Charlotte Boumon-Malarme, académicienne	MALARME, Charlotte de Bournon, comtesse de
00.105	Entretiens philosophiques et politiques suivis de Betzi ou l’amour comme il est, roman qui n’en est pas un	MEISTER, Jakob Heinrich
00.106	Irma ou les malheurs d’une jeune orpheline, histoire indienne, avec des romances, publiée par la Ce Gd	MÉRÉ, Elisabeth Guénard, madame Brossin de
00.107	Zulmée ou la veuve ingénue, nouvelle traduction de l’italien	MÉRÉ, Elisabeth Guénard, madame Brossin de
00.108	Elise Duménil, par Marie de Comarrieu, marquise de Montalembert	MONTALEMBERT, Marie-Joséphine de Comarrieu, marquise de
00.109	Histoire de quatre Espagnols, par F.L.C. Montjoye	MONTJOIE, Félix-Louis-Christophe
00.11	Caroline et Saint-Hilaire ou les putains du Palais-Royal
00.111	Rodolphe ou le sauvage de l’Aveyron	NEYER, J.-A.
00.112	L’antipode de Marmontel ou nouvelles fictions, ruses d’amour et espiègleries de l’Aristénète français, opuscule précédé de la correspondance de l’auteur avec Pamy, Palissot et autres littérateurs	NOGARET, François-Félix
00.113	Paris ou le rideau levé, anecdotes singulières, bizarres et sentimentales, pour servir à l’histoire de nos mœurs anciennes et nouvelles, avec des faits qui n’avaient point encore été publiés, le tout recueilli et mis au jour par P.-J.-B. Nougaret	NOUGARET, Pierre-Jean-Baptiste
00.114	Vie, amours et aventures de plusieurs illustres solitaires des Alpes ou les malheurs des grandes passions, par F. Pagès	PAGÈS, François-Xavier
00.115	Mémoires anecdotiques pour servir à l’histoire de la Révolution française, publiés par le traducteur d’Obéron	PERNAY, F.-Daniel
00.116	Les amans de Corinthe, histoire épisodique imitée du grec par Ch. Pertusier	PERTUSIER, Charles
00.117	Mes premières étourderies, ou quelques chapitres de ma vie en attendant mieux	PERTUSIER, Charles
00.118	Zoflora ou la bonne négresse, anecdote coloniale, par J.B. Picquenard	PICQUENARD, J.-B.
00.119	Adèle et d’Abligny, par Pigault-Lebrun	PIGAULT-LEBRUN, Charles-Antoine-Guillaume Pigault de l’Epinay, dit
00.12	D’Orbieux et Cécile ou l’école de la bienfaisance, par P....
00.120	Métusko ou les Polonais, par Pigault-Lebrun, troisième nouvelle	PIGAULT-LEBRUN, Charles-Antoine-Guillaume Pigault de l’Epinay, dit
00.121	Mon oncle Thomas, par Pigault-Lebrun	PIGAULT-LEBRUN, Charles-Antoine-Guillaume Pigault de l’Epinay, dit
00.122	Monsieur de Klinglin ou la prescience, par Pigault-Lebrun, seconde nouvelle	PIGAULT-LEBRUN, Charles-Antoine-Guillaume Pigault de l’Epinay, dit
00.123	Théodore ou les Péruviens, par Pigault-Lebrun, première nouvelle	PIGAULT-LEBRUN, Charles-Antoine-Guillaume Pigault de l’Epinay, dit
00.125	Marcelin ou les épreuves du monde, par M.L.P.	PISSOT, Noël-Laurent
00.127	Les folies d’un conscrit, par J.-S. Quesné	QUESNÉ, Jacques Salbigoton
00.128	Le cimetière de la Madeleine, par J.J. Regnault-Warin, auteur de Roméo et Juliette, la Caverne de Strozzi, etc.	REGNAULT-WARIN, Jean-Baptiste-Joseph-Innocent-Philadelphe
00.129	La jeunesse de Figaro, par J.J. Regnault-Warin, auteur du Cimetière de la Madeleine, de Roméo et Juliette, etc.	REGNAULT-WARIN, Jean-Baptiste-Joseph-Innocent-Philadelphe
00.13	Les effets du repentir ou mémoires du comte D**
00.130	Les prisonniers du Temple, par J.-J. Regnault-Warin, auteur du Cimetière de la Madeleine	REGNAULT-WARIN, Jean-Baptiste-Joseph-Innocent-Philadelphe
00.131	Roméo et Juliette, roman historique, par J.J. Régnault de Warin, auteur de la Caverne de Strozzi	REGNAULT-WARIN, Jean-Baptiste-Joseph-Innocent-Philadelphe
00.132	Claude et Claudine ou l’amour au village, roman pastoral, imité d’Estelle de Florian	ROSNY, Antoine-Joseph-Nicolas de
00.133	Le délire du sentiment ou rêveries d’un homme sensible, satire	ROSNY, Antoine-Joseph-Nicolas de
00.134	Le rêve d’un philosophe ou voici toute mon ambition! par Joseph Rosny, suivi de la réponse par l’auteur de Betsy, deuxième édition	ROSNY, Antoine-Joseph-Nicolas de
00.135	Les crimes de l’amour, nouvelles héroïques et tragiques, précédés d’une idée sur les romans et ornés de gravures, par D.A. F. Sade, auteur d’Aline et Valcour	SADE, Donatien-Alphonse-François, marquis de
00.136	Deslacs d’Arcambal, dame Garet de Fleurieu, puis dame Baconnière de Stella, histoire anglaise, par Aglaé D... F.	SALVERTE, Aglaé
00.137	L’observateur sentimental ou correspondance anecdotique, politique, pittoresque et satyrique entre Mohamed Saady et quelques-uns de ses amis, ayant sur-tout pour objet les événements et les mœurs de nos jours, recueillie et publiée par S.......u, ex-professeur d’une ci-devant Ecole Royale Militaire, et des Ecoles centrales	SANCHAMAU, J.-B.
00.138	Brick Bolding ou qu’est-ce que la vie? roman anglo-franc-italien	SEWRIN, Charles-Augustin de Bassompierre, dit
00.14	Éléonore et d’Arsans ou les époux réunis
00.144	Ardent ou les aventures plaisantes d’un incroyable, par Mlle S***	SUREMAIN, Louise-Marie Melchior
00.145	Le chevalier Robert ou histoire de Robert, surnommé le brave, dernier ouvrage posthume de Louis-Elisabeth Delavergne, comte de Tressan, chevalier de l’Ordre royal et militaire de St.-Louis, commandeur de l’Ordre de St.-Lazare, lieutenant-général des armées du roi, commandant du comté de Bitche et Lorraine allemande, l’un des quarante de l’Académie française, associé libre de celle des sciences de Paris, de la Société royale de Londres, des Académies de Berlin, d’Edimbourg, de Nancy, de Montpellier, de Rouen, etc.	TRESSAN, abbé Maurice-Elisabeth de Lavergne de
00.146	Betzi ou l’infortunée Créole, histoire véritable par la citoyenne L.V....	VILDÉ, madame L.
00.147	Antoine et Jeannette ou les enfans abandonnés, histoire presque véritable	VILLEMAIN D’ABANCOURT, François-Jean
00.148	Le canevas à la diable ou la journée d’un amateur, anecdote mise au jour par P.	VOIART, Jacques-Philippe
00.15	L’enfant chéri des dames
00.16	L’enfant du bordel
00.17	Les épreuves de la maternité
00.18	Euphémie ou la perfidie réparée, par M. D***
00.19	Les femmes démasquées ou le vrai remède d’amour, par M***, l’ami du vrai
00.21	Frédéric et Jenny ou l’enfant de la sacristie, par J.M.G**
00.22	Honorina ou les malheurs de l’hymen, par Mme de M***
00.23	Isménie ou les crimes de la jalousie
00.24	Melcour et Sophie ou l’époux malheureux
00.25	La méprise ou l’enfant de ma mère, par M.P.M.D.
00.26	Mistriss Walter ou nouvelle et dernière suite de Simple histoire, par madame S**
00.28	Le père barbare ou histoire d’Amédée, écrite par elle-même
00.29	Rosabelle ou la caverne galloise, par M.P.F.B......de Lyon
00.30	Roseide et Valmor ou les victimes de l’orgueil, traduit de l’anglais de sir Horace Walpole, par F. Beauharnay
00.31	Sidney et Worton, histoire anglaise par de S***
00.34	Le somnambule financier ou le roman véritable de la paix, de la gloire et de la prospérité
00.35	Souvenirs d’Ernest dédiés à trois jolies femmes
00.36	Le Tartuffe révolutionnaire, imité de l’anglais par madame ****
00.37	Zoloé et ses deux acolythes ou quelques décades de la vie de trois jolies femmes, histoire véritable du siècle dernier, par un contemporain
00.39	Le comte d’A**** ou les aventures d’une jeune voyageur sorti de la cour de France en 1789, ouvrage publié d’après le manuscrit original	ANDRÉ, Jean-François	SÉRIEYS, Antoine
00.40	Suzette ou tout comme a fait ma mère, par Jn-Fr. André	ANDRÉ, Jean-François
00.41	Contes et opuscules en vers et en prose, suivis de poésies fugitives, par Andrieux, de l’Institut national	ANDRIEUX, François-Guillaume-Jean-Stanislas
00.43	Elle et moi ou folie et sagesse, par A.A. Beaufort	BEAUFORT D’AUBERVAL, Alphonse-Aimé
00.44	Anna Grenwil, roman historique du siècle de Cromwel (sic), par L.F.M. Bellin La Laborlière, auteur de Célestine ou les époux sans l’être, de la Nuit anglaise, etc, etc.	BELLIN DE LA LIBORLIÈRE, Louis-François-Marie
00.48	Henriette et Edouard ou le château de Welcome, suivi des Voyages de Zaffar, par l’auteur du Tombeau, de l’Enfant du mystère, etc.	BIZET	CHAUSSIER, Hector
00.49	Les enfans de la nature, par P. B**	BLANCHARD, Pierre
00.5	Alexis et Rosalie, par M. D......
00.50	Philétas, roman pastoral par Pierre Blanchard	BLANCHARD, Pierre
