au-name	bgrf	author_wikidata
Guillaume d'Abbes de Cabreroles	58.5	http://www.wikidata.org/entity/Q3120241
Jean-François André	00.39	
Antoine Sérieys	00.39	http://www.wikidata.org/entity/Q2856749
Anonymous	00.16	http://www.wikidata.org/entity/Q4233718
Anonymous	57.1	http://www.wikidata.org/entity/Q4233718
Anonymous	83.9	http://www.wikidata.org/entity/Q4233718
Anonymous	70.18	http://www.wikidata.org/entity/Q4233718
Anonymous	00.37	http://www.wikidata.org/entity/Q4233718
François-Thomas-Marie de Baculard d'Arnaud	72.10	http://www.wikidata.org/entity/Q548610
François-Thomas-Marie de Baculard d'Arnaud	69.12	http://www.wikidata.org/entity/Q548610
François-Thomas-Marie de Baculard d'Arnaud	51.9	http://www.wikidata.org/entity/Q548610
François-Thomas-Marie de Baculard d'Arnaud	67.14	http://www.wikidata.org/entity/Q548610
François-Thomas-Marie de Baculard d'Arnaud	67.15	http://www.wikidata.org/entity/Q548610
François-Thomas-Marie de Baculard d'Arnaud	83.15	http://www.wikidata.org/entity/Q548610
François-Thomas-Marie de Baculard d'Arnaud	64.14	http://www.wikidata.org/entity/Q548610
François-Thomas-Marie de Baculard d'Arnaud	67.16	http://www.wikidata.org/entity/Q548610
François-Thomas-Marie de Baculard d'Arnaud	67.17	http://www.wikidata.org/entity/Q548610
François-Thomas-Marie de Baculard d'Arnaud	99.43	http://www.wikidata.org/entity/Q548610
François-Thomas-Marie de Baculard d'Arnaud	67.18	http://www.wikidata.org/entity/Q548610
François-Thomas-Marie de Baculard d'Arnaud	72.11	http://www.wikidata.org/entity/Q548610
François-Thomas-Marie de Baculard d'Arnaud	69.13	http://www.wikidata.org/entity/Q548610
François-Thomas-Marie de Baculard d'Arnaud	66.9	http://www.wikidata.org/entity/Q548610
François-Thomas-Marie de Baculard d'Arnaud	73.9	http://www.wikidata.org/entity/Q548610
François Barbé-Marbois	69.14	http://www.wikidata.org/entity/Q708732
Nicolas Thomas Barthe	69.15	http://www.wikidata.org/entity/Q3340819
Jean François Bastide	62.9	http://www.wikidata.org/entity/Q3165946
Fanny de Beauharnais	78.12	http://www.wikidata.org/entity/Q446559
Jeanne-Marie Leprince de Beaumont	56.19	http://www.wikidata.org/entity/Q466788
Jeanne-Marie Leprince de Beaumont	67.36	http://www.wikidata.org/entity/Q466788
Jeanne-Marie Leprince de Beaumont	56.19	http://www.wikidata.org/entity/Q466788
William Beckford	87.25	http://www.wikidata.org/entity/Q361026
Louis François Marie Bellin de La Liborlière	99.44	http://www.wikidata.org/entity/Q3261946
Françoise-Albine Benoist	66.11	http://www.wikidata.org/entity/Q3086371
Bonne-Charlotte Bénouville	58.8	
Jacques Henri Bernardin de Saint-Pierre	91.43	http://www.wikidata.org/entity/Q361976
Jacques Henri Bernardin de Saint-Pierre	88.101	http://www.wikidata.org/entity/Q361976
Arnaud Berquin	82.14	http://www.wikidata.org/entity/Q350566
Pierre Blanchard	00.50	http://www.wikidata.org/entity/Q21416437
Suzanne Bodin de Boismortier	66.12	http://www.wikidata.org/entity/Q3505914
Stanislas de Boufflers	61.6	http://www.wikidata.org/entity/Q918355
Brument	68.17	
Jean-Louis Castilhon	69.23	http://www.wikidata.org/entity/Q3166691
Jean Castilhon	69.22	http://www.wikidata.org/entity/Q2363786
Jacques Cazotte	72.17	http://www.wikidata.org/entity/Q425373
Jacques Cazotte	88.41	http://www.wikidata.org/entity/Q425373
Jacques Cazotte	63.19	http://www.wikidata.org/entity/Q425373
Isabelle de Charrière	87.30	http://www.wikidata.org/entity/Q123386
Isabelle de Charrière	96.18	http://www.wikidata.org/entity/Q123386
Isabelle de Charrière	85.24	http://www.wikidata.org/entity/Q123386
Isabelle de Charrière	84.18	http://www.wikidata.org/entity/Q123386
Isabelle de Charrière	63.21	http://www.wikidata.org/entity/Q123386
Isabelle de Charrière	88.43	http://www.wikidata.org/entity/Q123386
Isabelle de Charrière	98.35	http://www.wikidata.org/entity/Q123386
Isabelle de Charrière	98.35	http://www.wikidata.org/entity/Q123386
Pierre-Jean-Baptiste Chaussard	99.57	http://www.wikidata.org/entity/Q3383151
François-Antoine Chevrier	62.11	http://www.wikidata.org/entity/Q3083281
François-Antoine Chevrier	52.18	http://www.wikidata.org/entity/Q3083281
Etienne-Guillaume Sainte-Colombe	64.41	
