filename	title_to_altLabel	token count	bgrf	title_wikidata	lang	full_work_non_modernized
Abbes_Voyage	Voyage dans les espaces	5601	58.5	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Abbes_Voyage.txt
AndreSerieys_Comte	Le comte d'A*** ou les aventures d'un jeune voyageur sorti de la cour de France en 1789	68837	00.39	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/AndreSerieys_Comte.txt
Anonym_Enfant	L'enfant du bordel	31195	00.16	Q72060038	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Anonym_Enfant.txt
Anonym_Histoire	Histoire d'un peuple nouveau	42915	57.1	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Anonym_Histoire.txt
Anonym_Suzon	Mémoires de Suzon, soeur de Dom Bougre	29294	83.9	Q93956625	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Anonym_Suzon.txt
Anonyme_Venus	Vénus en rut ou Vie d'une célèbre libertine	41764	70.18	Q72044257	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Anonyme_Venus.txt
Anonyme_Zoloe	Zoloé et ses deux acolythes	18089	00.37	Q72044301	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Anonyme_Zoloe.txt
Arnaud_Adelson	Adelson et Salvini, anecdote anglaise	26434	72.10	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Arnaud_Adelson.txt
Arnaud_Anne	Anne Bell, histoire anglaise	18692	69.12	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Arnaud_Anne.txt
Arnaud_Bal	Le Bal de Venise	17326	51.9	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Arnaud_Bal.txt
Arnaud_Batilde	Bathilde ou l'héroïsme de l'amour, anecdote historique par M. d'Arnaud	15703	67.14	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Arnaud_Batilde.txt
Arnaud_Clary	Clary ou le retour à la vertu récompensé	14372	67.15	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Arnaud_Clary.txt
Arnaud_Epoux	Les époux malheureux	76960	83.15	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Arnaud_Epoux.txt
Arnaud_Fanny	Fanny, histoire anglaise	17786	64.14	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Arnaud_Fanny.txt
Arnaud_Julie	Julie ou l'heureux repentir	17134	67.16	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Arnaud_Julie.txt
Arnaud_Lucie	Lucie et Mélanie ou les deux sœurs généreuses	13026	67.17	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Arnaud_Lucie.txt
Arnaud_Matinees	Les matinées	76569	99.43	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Arnaud_Matinees.txt
Arnaud_Nancy	Nancy ou les malheurs de l'imprudence et de la jalousie	17520	67.18	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Arnaud_Nancy.txt
Arnaud_Sargines	Sargines, nouvelle	22149	72.11	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Arnaud_Sargines.txt
Arnaud_Selicourt	Sélicourt, nouvelle	18765	69.13	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Arnaud_Selicourt.txt
Arnaud_Sidney	Sidney et Volsan	18068	66.9	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Arnaud_Sidney.txt
Arnaud_Zenothemis	Zénothémis	18689	73.9	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Arnaud_Zenothemis.txt
BarbeMarbois_Parisienne	La Parisienne en province	28983	69.14	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/BarbeMarbois_Parisienne.txt
Barthe_Femme	La jolie femme ou la femme du jour	62820	69.15	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Barthe_Femme.txt
Bastide_Maison	La Petite Maison	6933	62.9	Q19187345	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Bastide_Maison.txt
Beauharnais_Lettres	Lettres de Stéphanie	130171	78.12	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Beauharnais_Lettres.txt
Beaumont_Belle	La Belle et la Bête	5599	56.19	Q60193373	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Beaumont_Belle.txt
Beaumont_Clarice	La nouvelle Clarice	135446	67.36	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Beaumont_Clarice.txt
Beaumont_Prince	Le Prince Chéri	4674	56.19	Q106165259	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Beaumont_Prince.txt
Beckford_Vathek	Vathek: conte arabe	35155	87.25	Q54548	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Beckford_Vathek.txt
Bellin_Nuit	La Nuit anglaise	47041	99.44	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Bellin_Nuit.txt
Benoist_Elisabeth	Elisabeth	84754	66.11	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Benoist_Elisabeth.txt
Benouville_Pensees	Les pensées errantes	39065	58.8	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Benouville_Pensees.txt
Bernardin_Chaumiere	Chaumière Indienne	13551	91.43	Q42187814	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Bernardin_Chaumiere.txt
Bernardin_Paul	Paul et Virginie	64366	88101	Q2293012	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Bernardin_Paul.txt
Berquin_Enfants	L'ami des Enfants	38322	82.14	Q42185919	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Berquin_Enfants.txt
Blanchard_Philetas	Philétas	27292	00.50	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Blanchard_Philetas.txt
Boismortier_Histoire	Histoire de Jacques Féru	7294	66.12	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Boismortier_Histoire.txt
Boufflers_Reine	La Reine de Golgonde	4444	61.6	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Boufflers_Reine.txt
Brument_Henriette	Henriette de Wolmar	20729	68.17	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Brument_Henriette.txt
CastilhonJL_Zingha	Zingha, reine d'Angola	42517	69.23	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/CastilhonJL_Zingha.txt
CastilhonJ_Robert	Histoire de Robert le Diable, duc de Normandie; et de Richard sans peur, son fils	56536	69.22	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/CastilhonJ_Robert.txt
Cazotte_Diable	Le Diable amoureux	26070	72.17	Q1994609	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Cazotte_Diable.txt
