item.value	num_pages.value	num_pages_cleaned	number_pages_total
http://data.mimotext.uni-trier.de/entity/Q1018	176p.	176,	176
http://data.mimotext.uni-trier.de/entity/Q1032	159 (pour 359), 343p.	159,359,343,	861
http://data.mimotext.uni-trier.de/entity/Q1036	153p.	153,	153
http://data.mimotext.uni-trier.de/entity/Q1044	164p.	164,	164
http://data.mimotext.uni-trier.de/entity/Q1046	159, 161-352, 204, 205-396p.	159,161-352,204,205-396,	745
http://data.mimotext.uni-trier.de/entity/Q1049	154, 208p.	154,208,	362
http://data.mimotext.uni-trier.de/entity/Q1064	155, 111 + 3p.	155,111,3,	269
http://data.mimotext.uni-trier.de/entity/Q1083	188p.	188,	188
http://data.mimotext.uni-trier.de/entity/Q1086	180, 214p.	180,214,	394
http://data.mimotext.uni-trier.de/entity/Q1087	156, 137p.	156,137,	293
http://data.mimotext.uni-trier.de/entity/Q1095	174, 187p.	174,187,	361
http://data.mimotext.uni-trier.de/entity/Q1109	147p.	147,	147
http://data.mimotext.uni-trier.de/entity/Q1119	153, 152, 130p.	153,152,130,	435
http://data.mimotext.uni-trier.de/entity/Q1121	172p.	172,	172
http://data.mimotext.uni-trier.de/entity/Q1123	172p.	172,	172
http://data.mimotext.uni-trier.de/entity/Q1132	188, 173, 142p.	188,173,142,	503
http://data.mimotext.uni-trier.de/entity/Q1133	166, 194p.	166,194,	360
http://data.mimotext.uni-trier.de/entity/Q1140	189, 191, 197p.	189,191,197,	577
http://data.mimotext.uni-trier.de/entity/Q1148	152, 132p.	152,132,	284
http://data.mimotext.uni-trier.de/entity/Q1163	188p.	188,	188
http://data.mimotext.uni-trier.de/entity/Q1173	168p.	168,	168
http://data.mimotext.uni-trier.de/entity/Q1193	182p.	182,	182
http://data.mimotext.uni-trier.de/entity/Q1204	182, ? p.	182,	182
http://data.mimotext.uni-trier.de/entity/Q1211	180, 182p.	180,182,	362
http://data.mimotext.uni-trier.de/entity/Q1215	160, 161 + xxii p.	160,161,	321
http://data.mimotext.uni-trier.de/entity/Q1216	157, 118p.	157,118,	275
http://data.mimotext.uni-trier.de/entity/Q1224	170, 200p.	170,200,	370
http://data.mimotext.uni-trier.de/entity/Q1227	158p.	158,	158
http://data.mimotext.uni-trier.de/entity/Q1231	151p.	151,	151
http://data.mimotext.uni-trier.de/entity/Q1233	151p.	151,	151
http://data.mimotext.uni-trier.de/entity/Q1243	154, 147, 120, 124p.	154,147,120,124,	545
http://data.mimotext.uni-trier.de/entity/Q1249	160p.	160,	160
http://data.mimotext.uni-trier.de/entity/Q1250	166p.	166,	166
http://data.mimotext.uni-trier.de/entity/Q1266	164p.	164,	164
http://data.mimotext.uni-trier.de/entity/Q1274	163p.	163,	163
http://data.mimotext.uni-trier.de/entity/Q1275	185p.	185,	185
http://data.mimotext.uni-trier.de/entity/Q1287	189p.	189,	189
http://data.mimotext.uni-trier.de/entity/Q1298	149, 148p.	149,148,	297
http://data.mimotext.uni-trier.de/entity/Q1306	175, 158p.	175,158,	333
http://data.mimotext.uni-trier.de/entity/Q1307	160, 160, 143, 168, 168, 168, I47p.	160,160,143,168,168,168,147,	1114
http://data.mimotext.uni-trier.de/entity/Q1309	153, 174, 176, 166, 169p.	153,174,176,166,169,	838
http://data.mimotext.uni-trier.de/entity/Q1311	167, 180p.	167,180,	347
http://data.mimotext.uni-trier.de/entity/Q1313	185, 116p.	185,116,	301
http://data.mimotext.uni-trier.de/entity/Q1331	164, 160p.	164,160,	324
http://data.mimotext.uni-trier.de/entity/Q1339	164, 144, 147 p.	164,144,147,	455
http://data.mimotext.uni-trier.de/entity/Q1340	159p.	159,	159
http://data.mimotext.uni-trier.de/entity/Q1343	182p.	182,	182
http://data.mimotext.uni-trier.de/entity/Q1351	189, 143p.	189,143,	332
http://data.mimotext.uni-trier.de/entity/Q1352	188, 206p.	188,206,	394
http://data.mimotext.uni-trier.de/entity/Q1367	158, 138p.	158,138,	296
http://data.mimotext.uni-trier.de/entity/Q1372	166, 168, 148, 21 lp.	166,168,148,211,	693
http://data.mimotext.uni-trier.de/entity/Q1376	153p.	153,	153
http://data.mimotext.uni-trier.de/entity/Q1389	160p.	160,	160
http://data.mimotext.uni-trier.de/entity/Q1409	152, 119, 130, 159p.	152,119,130,159,	560
http://data.mimotext.uni-trier.de/entity/Q1415	164p.	164,	164
http://data.mimotext.uni-trier.de/entity/Q1418	176, 174p	176,174,	350
http://data.mimotext.uni-trier.de/entity/Q1445	146, 184p.	146,184,	330
http://data.mimotext.uni-trier.de/entity/Q1466	146p.	146,	146
http://data.mimotext.uni-trier.de/entity/Q1469	167, 160p.	167,160,	327
http://data.mimotext.uni-trier.de/entity/Q1486	179p.	179,	179
http://data.mimotext.uni-trier.de/entity/Q1490	154, 180p.	154,180,	334
http://data.mimotext.uni-trier.de/entity/Q1491	159p.	159,	159
http://data.mimotext.uni-trier.de/entity/Q1500	147, 195p.	147,195,	342
http://data.mimotext.uni-trier.de/entity/Q1514	186 31 8d	186318,	186318
http://data.mimotext.uni-trier.de/entity/Q1545	151, 142, 154, 256p.	151,142,154,256,	703
http://data.mimotext.uni-trier.de/entity/Q1550	165, 136p.	165,136,	301
http://data.mimotext.uni-trier.de/entity/Q1582	159p.	159,	159
http://data.mimotext.uni-trier.de/entity/Q1587	179p.	179,	179
http://data.mimotext.uni-trier.de/entity/Q1640	188p.	188,	188
http://data.mimotext.uni-trier.de/entity/Q1668	182p.	182,	182
http://data.mimotext.uni-trier.de/entity/Q1695	166p.	166,	166
http://data.mimotext.uni-trier.de/entity/Q1769	179p.	179,	179
http://data.mimotext.uni-trier.de/entity/Q1802	153p.	153,	153
http://data.mimotext.uni-trier.de/entity/Q1878	179p.	179,	179
http://data.mimotext.uni-trier.de/entity/Q1879	163p.	163,	163
http://data.mimotext.uni-trier.de/entity/Q1954	160p.	160,	160
http://data.mimotext.uni-trier.de/entity/Q1968	147p.	147,	147
http://data.mimotext.uni-trier.de/entity/Q1999	185p.	185,	185
http://data.mimotext.uni-trier.de/entity/Q2030	182p.	182,	182
http://data.mimotext.uni-trier.de/entity/Q2061	185p.	185,	185
http://data.mimotext.uni-trier.de/entity/Q2066	179p.	179,	179
http://data.mimotext.uni-trier.de/entity/Q2069	146p.	146,	146
http://data.mimotext.uni-trier.de/entity/Q2122	179p.	179,	179
http://data.mimotext.uni-trier.de/entity/Q2327	160p.	160,	160
http://data.mimotext.uni-trier.de/entity/Q2367	176p.	176,	176
http://data.mimotext.uni-trier.de/entity/Q2405	163p.	163,	163
http://data.mimotext.uni-trier.de/entity/Q2414	176p.	176,	176
http://data.mimotext.uni-trier.de/entity/Q2498	179p.	179,	179
http://data.mimotext.uni-trier.de/entity/Q2500	166p.	166,	166
http://data.mimotext.uni-trier.de/entity/Q2528	188p.	188,	188
http://data.mimotext.uni-trier.de/entity/Q2531	188p.	188,	188
http://data.mimotext.uni-trier.de/entity/Q2570	166p.	166,	166
http://data.mimotext.uni-trier.de/entity/Q2579	176p.	176,	176
http://data.mimotext.uni-trier.de/entity/Q1584	160p.	160,	160
http://data.mimotext.uni-trier.de/entity/Q2036	176p.	176,	176
http://data.mimotext.uni-trier.de/entity/Q2156	166p.	166,	166
http://data.mimotext.uni-trier.de/entity/Q2164	166p.	166,	166
http://data.mimotext.uni-trier.de/entity/Q2235	144p.	144,	144
http://data.mimotext.uni-trier.de/entity/Q2267	176p.	176,	176
http://data.mimotext.uni-trier.de/entity/Q2281	172p.	172,	172
http://data.mimotext.uni-trier.de/entity/Q1010	136p.	136,	136
http://data.mimotext.uni-trier.de/entity/Q1014	120, 144, 156p.	120,144,156,	420
http://data.mimotext.uni-trier.de/entity/Q1035	120p.	120,	120
http://data.mimotext.uni-trier.de/entity/Q1060	143p.	143,	143
http://data.mimotext.uni-trier.de/entity/Q1066	116p.	116,	116
http://data.mimotext.uni-trier.de/entity/Q1113	108p.	108,	108
http://data.mimotext.uni-trier.de/entity/Q1118	[non déclaré]	,1,	1
http://data.mimotext.uni-trier.de/entity/Q1129	?,?, viii + 171. 152p.	,171,152,	323
http://data.mimotext.uni-trier.de/entity/Q1130	12 + 13-240, 264p.	12,13-240,264,	503
http://data.mimotext.uni-trier.de/entity/Q1134	[non déclaré]	,1,	1
http://data.mimotext.uni-trier.de/entity/Q1136	144p.	144,	144
http://data.mimotext.uni-trier.de/entity/Q1151	107p.	107,	107
http://data.mimotext.uni-trier.de/entity/Q1157	?, 135p.	,135,	135
http://data.mimotext.uni-trier.de/entity/Q1165	12 + 215, 12 + 216p.	12,215,12,216,	455
http://data.mimotext.uni-trier.de/entity/Q1166	108p.	108,	108
http://data.mimotext.uni-trier.de/entity/Q1170	112, 43 + 68p.	112,43,68,	223
http://data.mimotext.uni-trier.de/entity/Q1178	115, 134p.	115,134,	249
http://data.mimotext.uni-trier.de/entity/Q1183	128p.	128,	128
http://data.mimotext.uni-trier.de/entity/Q1185	144, 145-278p.	144,145-278,	277
http://data.mimotext.uni-trier.de/entity/Q1195	107p.	107,	107
http://data.mimotext.uni-trier.de/entity/Q1214	129, 107p.	129,107,	236
http://data.mimotext.uni-trier.de/entity/Q1217	128p.	128,	128
http://data.mimotext.uni-trier.de/entity/Q1220	140, 178p.	140,178,	318
http://data.mimotext.uni-trier.de/entity/Q1221	129, 131-233p.	129,131-233,	231
http://data.mimotext.uni-trier.de/entity/Q1223	111p.	111,	111
http://data.mimotext.uni-trier.de/entity/Q1228	136, 140, 132, 135, 123, 142p.	136,140,132,135,123,142,	808
http://data.mimotext.uni-trier.de/entity/Q1235	14 + 60p.	14,60,	74
http://data.mimotext.uni-trier.de/entity/Q1240	124, 120, 120, 128p.	124,120,120,128,	492
http://data.mimotext.uni-trier.de/entity/Q1241	141 (pour 151) p.	141,151,	292
http://data.mimotext.uni-trier.de/entity/Q1242	104, 52p.	104,52,	156
http://data.mimotext.uni-trier.de/entity/Q1244	135, 114, 114, 161p.	135,114,114,161,	524
http://data.mimotext.uni-trier.de/entity/Q1248	120p.	120,	120
http://data.mimotext.uni-trier.de/entity/Q1259	122p.	122,	122
http://data.mimotext.uni-trier.de/entity/Q1262	120p.	120,	120
http://data.mimotext.uni-trier.de/entity/Q1264	102, 83p.	102,83,	185
http://data.mimotext.uni-trier.de/entity/Q1268	104p.	104,	104
http://data.mimotext.uni-trier.de/entity/Q1270	119, 116, 144p.	119,116,144,	379
http://data.mimotext.uni-trier.de/entity/Q1279	136p.	136,	136
http://data.mimotext.uni-trier.de/entity/Q1293	119, 114p.	119,114,	233
http://data.mimotext.uni-trier.de/entity/Q1297	137p.	137,	137
http://data.mimotext.uni-trier.de/entity/Q1304	135, 136-256p.	135,136-256,	255
http://data.mimotext.uni-trier.de/entity/Q1318	132, 116p.	132,116,	248
http://data.mimotext.uni-trier.de/entity/Q1322	132, 156p.	132,156,	288
http://data.mimotext.uni-trier.de/entity/Q1323	136, 111p.	136,111,	247
http://data.mimotext.uni-trier.de/entity/Q1332	100p.	100,	100
http://data.mimotext.uni-trier.de/entity/Q1347	105p.	105,	105
http://data.mimotext.uni-trier.de/entity/Q1354	126p.	126,	126
http://data.mimotext.uni-trier.de/entity/Q1357	+ vip.	,	0
http://data.mimotext.uni-trier.de/entity/Q1360	108p.	108,	108
http://data.mimotext.uni-trier.de/entity/Q1365	141, 236p.	141,236,	377
http://data.mimotext.uni-trier.de/entity/Q1366	132, 135p.	132,135,	267
http://data.mimotext.uni-trier.de/entity/Q1368	108p.	108,	108
http://data.mimotext.uni-trier.de/entity/Q1378	128p.	128,	128
http://data.mimotext.uni-trier.de/entity/Q1385	122. 96p.	122,96,	218
http://data.mimotext.uni-trier.de/entity/Q1411	137p.	137,	137
http://data.mimotext.uni-trier.de/entity/Q1414	116p.	116,	116
http://data.mimotext.uni-trier.de/entity/Q1417	109p.	109,	109
http://data.mimotext.uni-trier.de/entity/Q1419	138p.	138,	138
http://data.mimotext.uni-trier.de/entity/Q1424	126p.	126,	126
http://data.mimotext.uni-trier.de/entity/Q1432	138p.	138,	138
http://data.mimotext.uni-trier.de/entity/Q1443	144p.	144,	144
http://data.mimotext.uni-trier.de/entity/Q1448	104, 158p.	104,158,	262
http://data.mimotext.uni-trier.de/entity/Q1481	106, 107-300, 166, 130 (pour 230), 196, 348p.	106,107-300,166,130,230,196,348,	1369
http://data.mimotext.uni-trier.de/entity/Q1485	130p.	130,	130
http://data.mimotext.uni-trier.de/entity/Q1517	116p.	116,	116
http://data.mimotext.uni-trier.de/entity/Q1518	136p.	136,	136
http://data.mimotext.uni-trier.de/entity/Q1521	142p.	142,	142
http://data.mimotext.uni-trier.de/entity/Q1540	105p.	105,	105
http://data.mimotext.uni-trier.de/entity/Q1614	108p.	108,	108
http://data.mimotext.uni-trier.de/entity/Q1712	120p.	120,	120
http://data.mimotext.uni-trier.de/entity/Q1727	126p.	126,	126
http://data.mimotext.uni-trier.de/entity/Q1737	120p.	120,	120
http://data.mimotext.uni-trier.de/entity/Q1738	122p.	122,	122
http://data.mimotext.uni-trier.de/entity/Q1781	126p.	126,	126
http://data.mimotext.uni-trier.de/entity/Q1791	120p.	120,	120
http://data.mimotext.uni-trier.de/entity/Q1845	104p.	104,	104
http://data.mimotext.uni-trier.de/entity/Q1914	142p.	142,	142
http://data.mimotext.uni-trier.de/entity/Q1938	144p.	144,	144
http://data.mimotext.uni-trier.de/entity/Q1946	142p.	142,	142
http://data.mimotext.uni-trier.de/entity/Q1949	104p.	104,	104
http://data.mimotext.uni-trier.de/entity/Q2067	144p.	144,	144
http://data.mimotext.uni-trier.de/entity/Q2176	144p.	144,	144
http://data.mimotext.uni-trier.de/entity/Q2266	138p.	138,	138
http://data.mimotext.uni-trier.de/entity/Q2291	120p.	120,	120
http://data.mimotext.uni-trier.de/entity/Q2319	120p.	120,	120
http://data.mimotext.uni-trier.de/entity/Q2484	144p.	144,	144
http://data.mimotext.uni-trier.de/entity/Q2520	120p.	120,	120
http://data.mimotext.uni-trier.de/entity/Q2575	108p.	108,	108
http://data.mimotext.uni-trier.de/entity/Q2680	144p.	144,	144
http://data.mimotext.uni-trier.de/entity/Q2688	111p.	111,	111
http://data.mimotext.uni-trier.de/entity/Q1768	104p.	104,	104
http://data.mimotext.uni-trier.de/entity/Q1790	136p.	136,	136
http://data.mimotext.uni-trier.de/entity/Q2165	100p.	100,	100
http://data.mimotext.uni-trier.de/entity/Q2280	130p.	130,	130
http://data.mimotext.uni-trier.de/entity/Q2338	111p.	111,	111
http://data.mimotext.uni-trier.de/entity/Q2377	128p.	128,	128
http://data.mimotext.uni-trier.de/entity/Q2379	108p.	108,	108
http://data.mimotext.uni-trier.de/entity/Q2451	104p.	104,	104
http://data.mimotext.uni-trier.de/entity/Q2714	108p.	108,	108
http://data.mimotext.uni-trier.de/entity/Q2718	108p.	108,	108
http://data.mimotext.uni-trier.de/entity/Q1015	291p.	291,	291
http://data.mimotext.uni-trier.de/entity/Q1017	240, 207p.	240,207,	447
http://data.mimotext.uni-trier.de/entity/Q1019	30p.	30,	30
http://data.mimotext.uni-trier.de/entity/Q1020	334p.	334,	334
http://data.mimotext.uni-trier.de/entity/Q1021	250p.	250,	250
http://data.mimotext.uni-trier.de/entity/Q1023	320p.	320,	320
http://data.mimotext.uni-trier.de/entity/Q1037	285, 302, 304, 301p.	285,302,304,301,	1192
http://data.mimotext.uni-trier.de/entity/Q1047	276, 260p.	276,260,	536
http://data.mimotext.uni-trier.de/entity/Q1053	248, 242, 231, 257p.	248,242,231,257,	978
http://data.mimotext.uni-trier.de/entity/Q1065	344, 220 (pour 320), 320, 336p.	344,220,320,320,336,	1540
http://data.mimotext.uni-trier.de/entity/Q1071	240, 247p.	240,247,	487
http://data.mimotext.uni-trier.de/entity/Q1078	283, 191p.	283,191,	474
http://data.mimotext.uni-trier.de/entity/Q1097	263, 224p.	263,224,	487
http://data.mimotext.uni-trier.de/entity/Q1098	286, 170, 177p.	286,170,177,	633
http://data.mimotext.uni-trier.de/entity/Q1103	248p.	248,	248
http://data.mimotext.uni-trier.de/entity/Q1106	323, 322p.	323,322,	645
http://data.mimotext.uni-trier.de/entity/Q1107	375p.	375,	375
http://data.mimotext.uni-trier.de/entity/Q1124	240, 215, 216, 238p.	240,215,216,238,	909
http://data.mimotext.uni-trier.de/entity/Q1131	372p.	372,	372
http://data.mimotext.uni-trier.de/entity/Q1143	250p.	250,	250
http://data.mimotext.uni-trier.de/entity/Q1144	251, 211p.	251,211,	462
http://data.mimotext.uni-trier.de/entity/Q1149	340p.	340,	340
http://data.mimotext.uni-trier.de/entity/Q1150	283p.	283,	283
http://data.mimotext.uni-trier.de/entity/Q1184	296, 325p.	296,325,	621
http://data.mimotext.uni-trier.de/entity/Q1190	30p.	30,	30
http://data.mimotext.uni-trier.de/entity/Q1203	245p.	245,	245
http://data.mimotext.uni-trier.de/entity/Q1218	31 + 198p.	31,198,	229
http://data.mimotext.uni-trier.de/entity/Q1229	38p.	38,	38
http://data.mimotext.uni-trier.de/entity/Q1237	269 + iii, 318p.	269,318,	587
http://data.mimotext.uni-trier.de/entity/Q1245	241, 154p.	241,154,	395
http://data.mimotext.uni-trier.de/entity/Q1252	295p.	295,	295
http://data.mimotext.uni-trier.de/entity/Q1254	291, 318p.	291,318,	609
http://data.mimotext.uni-trier.de/entity/Q1256	262p.	262,	262
http://data.mimotext.uni-trier.de/entity/Q1263	294p.	294,	294
http://data.mimotext.uni-trier.de/entity/Q1280	260, 320p.	260,320,	580
http://data.mimotext.uni-trier.de/entity/Q1281	294, 358, 274, 267, 363, 387p.	294,358,274,267,363,387,	1943
http://data.mimotext.uni-trier.de/entity/Q1283	360, 296p.	360,296,	656
http://data.mimotext.uni-trier.de/entity/Q1294	283p.	283,	283
http://data.mimotext.uni-trier.de/entity/Q1295	268, 192p.	268,192,	460
http://data.mimotext.uni-trier.de/entity/Q1296	274 p.	274,	274
http://data.mimotext.uni-trier.de/entity/Q1299	247, 232p.	247,232,	479
http://data.mimotext.uni-trier.de/entity/Q1300	288, 204p.	288,204,	492
http://data.mimotext.uni-trier.de/entity/Q1308	322p.	322,	322
http://data.mimotext.uni-trier.de/entity/Q1314	28p.	28,	28
http://data.mimotext.uni-trier.de/entity/Q1317	291,327p.	291,327,	618
http://data.mimotext.uni-trier.de/entity/Q1328	32p.	32,	32
http://data.mimotext.uni-trier.de/entity/Q1329	300, 256p.	300,256,	556
http://data.mimotext.uni-trier.de/entity/Q1345	38p.	38,	38
http://data.mimotext.uni-trier.de/entity/Q1369	277, 255p.	277,255,	532
http://data.mimotext.uni-trier.de/entity/Q1379	30p.	30,	30
http://data.mimotext.uni-trier.de/entity/Q1380	400, 414, 431, 475p.	400,414,431,475,	1720
http://data.mimotext.uni-trier.de/entity/Q1387	287p.	287,	287
http://data.mimotext.uni-trier.de/entity/Q1396	30p.	30,	30
http://data.mimotext.uni-trier.de/entity/Q1402	24p.	24,	24
http://data.mimotext.uni-trier.de/entity/Q1405	24p.	24,	24
http://data.mimotext.uni-trier.de/entity/Q1406	294, 354p.	294,354,	648
http://data.mimotext.uni-trier.de/entity/Q1416	324p.	324,	324
http://data.mimotext.uni-trier.de/entity/Q1428	24p.	24,	24
http://data.mimotext.uni-trier.de/entity/Q1429	407, 319, 255, 331, 311, 312p.	407,319,255,331,311,312,	1935
http://data.mimotext.uni-trier.de/entity/Q1437	272p.	272,	272
http://data.mimotext.uni-trier.de/entity/Q1440	240, 216p.	240,216,	456
http://data.mimotext.uni-trier.de/entity/Q1455	32p.	32,	32
http://data.mimotext.uni-trier.de/entity/Q1456	243p.	243,	243
http://data.mimotext.uni-trier.de/entity/Q1463	342p.	342,	342
http://data.mimotext.uni-trier.de/entity/Q1472	260p.	260,	260
http://data.mimotext.uni-trier.de/entity/Q1478	240p.	240,	240
http://data.mimotext.uni-trier.de/entity/Q1482	367p.	367,	367
http://data.mimotext.uni-trier.de/entity/Q1499	319, 256p.	319,256,	575
http://data.mimotext.uni-trier.de/entity/Q1504	34p.	34,	34
http://data.mimotext.uni-trier.de/entity/Q1505	383, 399p.	383,399,	782
http://data.mimotext.uni-trier.de/entity/Q1523	360, 360p.	360,360,	720
http://data.mimotext.uni-trier.de/entity/Q1526	263, 314p.	263,314,	577
http://data.mimotext.uni-trier.de/entity/Q1528	378p.	378,	378
http://data.mimotext.uni-trier.de/entity/Q1533	266, 266p.	266,266,	532
http://data.mimotext.uni-trier.de/entity/Q1538	256p.	256,	256
http://data.mimotext.uni-trier.de/entity/Q1543	283, iv + 306p.	283,306,	589
http://data.mimotext.uni-trier.de/entity/Q1548	34p.	34,	34
http://data.mimotext.uni-trier.de/entity/Q1572	324p.	324,	324
http://data.mimotext.uni-trier.de/entity/Q1630	248p.	248,	248
http://data.mimotext.uni-trier.de/entity/Q1771	245p.	245,	245
http://data.mimotext.uni-trier.de/entity/Q1794	24p.	24,	24
http://data.mimotext.uni-trier.de/entity/Q1961	32p.	32,	32
http://data.mimotext.uni-trier.de/entity/Q1974	294p.	294,	294
